9,60,17,48,10,41,9,33,12,27,17,24,24,24,31,30,34,46,32,53,26,57,22,58,22,54,33,50,46,46,62,44,67,41,73,33,77,26,77,24,71
0,59,13,52,13,42,19,32,27,29,35,26,46,27,55,29,62,34,65,40,68,51,67,59,65,67,58,71,52,74,41,74,33,69,27,64,19,57,15,49,12
1,33,45,35,44,41,39,53,31,64,25,67,23,69,20,71,17,70,23,68,29,67,34,65,40,63,46,62,52,61,57,60,60,59,65,57,72,56,79,55,81
2,35,31,37,26,45,21,51,18,61,18,66,19,69,27,70,36,70,46,65,53,59,59,52,63,46,66,39,71,34,75,40,78,60,78,66,77,73,77,79,76
3,29,26,46,20,65,14,71,14,74,19,74,27,70,36,65,41,58,45,65,46,70,47,73,53,73,59,70,66,66,71,58,75,48,80,41,81,33,80,29,76
4,53,18,46,25,38,37,35,45,32,50,29,57,27,62,33,64,47,65,63,64,71,64,77,63,73,58,65,49,59,45,54,50,51,57,47,70,44,79,43,83
5,61,16,50,17,41,18,32,15,28,19,27,34,25,47,36,42,51,37,59,37,63,39,65,45,67,53,67,59,66,65,61,71,52,73,38,76,30,77,20,76
6,64,11,56,17,48,24,42,33,38,43,36,48,36,55,39,60,46,64,52,66,60,66,66,65,72,60,72,54,71,49,64,44,54,41,48,41,43,42,38,47
7,34,19,44,19,61,19,71,19,74,19,80,19,83,18,79,23,77,27,71,38,67,45,64,51,63,54,60,60,58,65,57,68,56,72,55,77,54,81,53,84
8,65,17,49,17,42,23,40,30,42,38,49,44,55,49,60,57,62,64,60,71,50,75,39,75,34,69,38,57,44,50,55,44,66,35,69,28,66,21,58,16
9,68,24,61,17,53,14,45,15,37,20,33,27,32,37,41,41,54,41,62,36,65,28,65,20,61,34,59,47,58,58,58,71,57,80,52,88,39,86,31,78
0,56,19,49,24,42,37,39,47,36,57,37,67,39,73,47,80,53,81,63,76,71,69,76,59,77,52,76,42,73,32,70,25,68,21,60,20,53,21,48,24
1,24,46,26,43,31,39,40,32,45,27,49,24,50,21,53,18,55,16,57,13,57,18,54,29,52,38,50,46,50,50,49,59,47,64,47,68,46,71,47,74
2,31,26,36,20,42,16,48,15,54,15,59,19,62,23,62,31,62,40,58,48,54,53,47,57,41,58,35,62,30,64,31,69,46,69,60,69,67,69,72,68
3,34,23,40,18,47,15,53,15,59,18,63,21,66,27,64,37,59,41,49,47,58,47,63,51,64,57,63,65,58,71,53,73,43,76,34,76,26,73,24,70
4,56,12,49,19,42,29,37,38,33,45,30,52,28,57,31,60,43,61,58,62,71,62,78,61,71,55,64,48,61,44,57,43,51,56,46,68,44,75,44,81
5,61,15,50,12,40,11,33,10,27,11,25,18,24,33,24,46,35,40,48,38,56,39,61,42,64,47,65,57,63,67,59,73,51,81,41,83,27,83,20,80
6,68,10,61,15,54,22,48,29,44,38,39,50,36,62,36,71,38,75,42,77,51,77,57,78,63,74,67,70,69,63,66,57,60,53,51,49,42,48,34,49
7,40,20,49,19,62,19,68,17,73,17,77,17,80,16,83,15,83,17,80,23,73,34,69,41,65,47,62,53,58,61,56,68,54,73,54,76,53,79,53,80
8,68,18,57,16,48,20,45,27,49,39,58,50,65,58,67,66,63,74,51,79,43,78,34,70,34,60,64,41,76,32,84,24,85,17,73,13,61,13,54,19
9,69,28,66,22,61,16,50,13,39,14,32,19,29,29,32,34,44,37,61,33,70,26,66,32,62,44,60,53,57,65,56,74,54,81,48,86,39,84,34,80
